"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","cakeL1Response","cakeL2Response","cakeL3Response","cakeL4Response","cakeL5Response","movieL1Response","movieL2Response","movieL3Response","movieL4Response","movieL5Response","podcastL1Response","podcastL2Response","podcastL3Response","podcastL4Response","podcastL5Response","attentionCheck"
"KiI8grYgcnF3-SxGEID2oAA0dTUdW2nfqrpf4AWBVXRTVkdQfyeYXMR_MLg1aXrR","2022-01-16 17:52:50","2022-01-16 17:55:07","2022-01-16 17:55:07","","5bb5896d56161d0001ff93b4","61e367685623b9b3189455fa","61e44d5c9d5e28fe905669f3","25","25","35","50","70","120","120","120","120","150","20","35","60","80","110","4"
"M6KN5RXWY2VTLmyQ1-p7aImQ8iT-YtgJOmKEBt4C-iIJX1mu3PnSCd_hOKrmiFPz","2022-01-16 17:53:08","2022-01-16 17:55:17","2022-01-16 17:55:17","","60c382d5d70ca5f3edc80d6e","61e367685623b9b3189455fa","61e44d6fb8cc94002e50bfa9","10","20","35","50","70","30","45","60","85","100","15","30","55","75","105","4"
"qnnXZYVyw92M3MBeh8j457nn_3A1ddOxEyurBK3_iBOqdE4Agjh5M6ZfAVBpuDwK","2022-01-16 17:54:04","2022-01-16 17:56:56","2022-01-16 17:56:56","","5ab41678e1546900019b4b15","61e367685623b9b3189455fa","61e44da8f91ee376bb72601a","25","30","40","60","75","120","120","150","150","180","20","30","60","80","120","4"
"hg-biXr5qI8OVds4646bY8PNeVsyzp7ZVvr01kXPn6Y6PB2tI8cqLERLv7J77U97","2022-01-16 17:55:03","2022-01-16 17:56:39","","","5e0f31a34fa02a656250044a","61e367685623b9b3189455fa","61e44de3496602082a06dba6","","","","","","90","90","","","","","","","","",""
"t0pcUmyQ4ac5eCrLUxi61q4o7gypYQuQnaANot9p2EUUM0ijnEGxcqycTLZ-fk35","2022-01-16 17:56:34","2022-01-16 17:58:21","2022-01-16 17:58:21","","5b748f1564ed4e0001095fb6","61e367685623b9b3189455fa","61e44e409c504bfff5f73c45","22","28","36","55","71","90","90","90","85","100","17","35","58","80","107","4"
"ljbWnI9PSTpWQe9raXxTr98bHtd0hlAHkBwSkBsFFKL8risaJ-0lqmXxEzLIvvNH","2022-01-16 17:58:17","2022-01-16 18:00:41","2022-01-16 18:00:41","","5f6f6b14500db14f7762f6b4","61e367685623b9b3189455fa","61e44ea7c619dbc1a2853261","30","30","45","60","75","40","50","65","90","110","17","33","60","80","110","4"
"jJ-3Y4lRUHFznaMsoK0kxId2mBr3a4wbyK4Th2BXz7tN4yvaaPa7gJOARWL_-g56","2022-01-16 17:59:50","2022-01-16 18:03:11","2022-01-16 18:03:11","","61632467173a05fbf5fb8d3f","61e367685623b9b3189455fa","61e44f00b8cc94002e50bfbb","15","25","40","55","75","90","90","90","90","130","17","33","60","77","108","4"
"X3A6YDFmTKMUhuh_x1STPOROD1vjsyIL3kpV-VPlFd9YOQVT-6mNhCXbzQIdfm3r","2022-01-16 18:02:12","2022-01-16 18:04:59","2022-01-16 18:04:59","","5ef7d6c359b38851de122110","61e367685623b9b3189455fa","61e44f8dbfca683610404e14","11","25","40","55","75","120","150","180","200","220","16","31","56","76","106","4"
"kyqv7KsreAM1C1wYpSL6lnW0nLDUmWZBPttP4ZlNA70wpQFTBF7XIU0L8Z3x_zQF","2022-01-16 18:02:53","2022-01-16 18:06:35","2022-01-16 18:06:35","","5e2ac2737916f010b330807f","61e367685623b9b3189455fa","61e44fbb9af726ff211ae230","30","40","60","60","90","127","127","180","180","180","15","30","60","80","110","4"
"i5BLisBLeJaCuXG2cCRvMYD-O6kAr2gmnQROdzKjVZQkv9s1keXrKQbcB5p9HpHV","2022-01-16 18:03:16","2022-01-16 18:07:02","2022-01-16 18:07:02","","60e7620c9faa7095d8b156c4","61e367685623b9b3189455fa","61e44fcee6d109aa7bdf6bd9","10","20","35","50","70","180","240","240","90","105","20","35","55","75","110","4"
