"Subject","Story","Level","Context","Prediction","T_val","z_score"
106,"cake",1,"Social",30,10,0.842072741364995
106,"cake",2,"Social",30,20,0.262960788316815
106,"cake",3,"Social",36,35,0.678240110767089
106,"cake",4,"Social",55,50,0.0773991384679493
106,"cake",5,"Social",70,70,0.67434198032924
107,"cake",1,"Social",12,10,0.871262904215628
107,"cake",2,"Social",25,20,0.373234667288383
107,"cake",3,"Social",40,35,0.169560027691772
107,"cake",4,"Social",55,50,0.0773991384679493
107,"cake",5,"Social",73,70,0.375077787875436
108,"cake",1,"Social",30,10,0.842072741364995
108,"cake",2,"Social",30,20,0.262960788316815
108,"cake",3,"Social",40,35,0.169560027691772
108,"cake",4,"Social",55,50,0.0773991384679493
108,"cake",5,"Social",80,70,0.323205327850108
109,"cake",1,"Social",12,10,0.871262904215628
109,"cake",2,"Social",22,20,0.754951940651502
109,"cake",3,"Social",37,35,0.55107008999826
109,"cake",4,"Social",52,50,0.523932629629193
109,"cake",5,"Social",72,70,0.47483251869337
110,"cake",1,"Social",35,10,1.31799930958183
110,"cake",2,"Social",35,20,0.899156243922013
110,"cake",3,"Social",35,35,0.805410131535918
110,"cake",4,"Social",50,50,0.821621623736688
110,"cake",5,"Social",70,70,0.67434198032924
111,"cake",1,"Social",20,10,0.109780395068684
111,"cake",2,"Social",30,20,0.262960788316815
111,"cake",3,"Social",35,35,0.805410131535918
111,"cake",4,"Social",50,50,0.821621623736688
111,"cake",5,"Social",70,70,0.67434198032924
112,"cake",1,"Social",12,10,0.871262904215628
112,"cake",2,"Social",25,20,0.373234667288383
112,"cake",3,"Social",35,35,0.805410131535918
112,"cake",4,"Social",50,50,0.821621623736688
112,"cake",5,"Social",70,70,0.67434198032924
113,"cake",1,"Social",15,10,0.585706963285524
113,"cake",2,"Social",25,20,0.373234667288383
113,"cake",3,"Social",40,35,0.169560027691772
113,"cake",4,"Social",60,50,0.66682334680079
113,"cake",5,"Social",75,70,0.175568326239566
114,"cake",1,"Social",15,10,0.585706963285524
114,"cake",2,"Social",25,20,0.373234667288383
114,"cake",3,"Social",40,35,0.169560027691772
114,"cake",4,"Social",55,50,0.0773991384679493
114,"cake",5,"Social",75,70,0.175568326239566
115,"cake",1,"Social",20,10,0.109780395068684
115,"cake",2,"Social",25,20,0.373234667288383
115,"cake",3,"Social",36,35,0.678240110767089
115,"cake",4,"Social",60,50,0.66682334680079
115,"cake",5,"Social",90,70,1.32075263602946
116,"cake",1,"Social",11,10,0.966448217858996
116,"cake",2,"Social",21,20,0.882191031772541
116,"cake",3,"Social",36,35,0.678240110767089
116,"cake",4,"Social",51,50,0.672777126682941
116,"cake",5,"Social",71,70,0.574587249511305
117,"cake",1,"Social",15,10,0.585706963285524
117,"cake",2,"Social",25,20,0.373234667288383
117,"cake",3,"Social",40,35,0.169560027691772
